Month,Revenue,Revenue_Growth_Pct
2009-12-01,684320.2199999953,
2010-01-01,538069.3720000169,-21.371697595020567
2010-02-01,502669.68600001535,-6.579018959659422
2010-03-01,672300.7910000113,33.74603834773333
2010-04-01,591821.7719999986,-11.97068634714894
2010-05-01,598287.5400000071,1.0925194553350392
2010-06-01,636251.100000006,6.345370321434141
2010-07-01,586884.0300000117,-7.759054561947931
2010-08-01,599898.0999999983,2.2174857952748317
2010-09-01,812929.0609999907,35.51119115062924
2010-10-01,1022593.4900000342,25.791233092606337
2010-11-01,1171267.3119998686,14.538897758857171
2010-12-01,884159.4700000332,-24.512580438159414
2011-01-01,569335.6400000077,-35.60713204825071
2011-02-01,446712.02000001643,-21.538019295610866
2011-03-01,590587.8500000146,32.20773642938752
2011-04-01,459076.86100000126,-22.267811469540078
2011-05-01,674276.6500000024,46.87663598013503
2011-06-01,660442.5800000115,-2.0516905041856104
2011-07-01,598543.2410000144,-9.372402821150027
2011-08-01,642354.3600000085,7.319624715299899
2011-09-01,949377.1409999961,47.79648121326421
2011-10-01,1017745.1599999856,7.20135508297326
2011-11-01,1158801.0599999437,13.859648322961338
